discount_price,name,original_price,stock
69500.0,"Tecno Pop 7 Pro (BF7) 6.6, 3GB/64GB(UpTo 6GB RAM), 5000mAh .Blue",75000.0,Add to cart
129990.0,"Infinix Hot 12 (X6817) 6.82 HD+, 4GB RAM(UP TO 7GB) +128 GB ROM",150000.0,Add to cart
44500.0,Tecno POP 5 Go(BD1) 5.71 HD+-1/16GB ROM-4000mAh-5/5MP-mist Copper,50000.0,Add to cart
62900.0,"UMIDIGI C1 (2GB,32GB ROM) 6.52 HD+ 5150mAh Android Smartphone Unlocked (13MP+2MP)+13MP-Hawaii Blue",97656.0,Add to cart
100990.0,"UMIDIGI BISON X10 (4GB RAM,64GB ROM) 6150mAh IP68/IP69K 6.53(20MP+8MP+5MP)+8MP NFC Android 11 Global Version Dual 4G-Supersonic Yellow",184226.0,Add to cart
57250.0,"itel S18 6.6 HD+, 64GB ROM + 2GB RAM (UpTo 4GB), 5000mAh, 4G LTE",80000.0,Add to cart
155000.0,Samsung Galaxy Note 9 6GB/128GB - Lavender Purple,173000.0,Add to cart
85000.0,XIAOMI Redmi 10A 6.53 Inches 3GB RAM 64GB ROM 5000mAH- Gray,109000.0,Add to cart
65990.0,"itel S16 Pro 4G 6.6 HD+, 2GB RAM + 32GB ROM, Android 10, 4000mAh, 13MP Triple Camera, Finger &amp; Face ID -Green +Free Solo Pod",75000.0,Add to cart
56000.0,"itel S18 6.6, 64GB ROM + 2GB RAM (UpTo 4GB), 5000mAh, 4G - Black",67000.0,Add to cart
92500.0,"Samsung Galaxy A03s, 6.5-Inch (3GB RAM, 32GB ROM) Android 11, (13MP + 2MP + 2MP) + 5MP 4G, Fingerprint, Dual SIM - Black",120000.0,Add to cart
225500.0,"Samsung Galaxy A33 5G, 6GB/128GB Memory - Black",500000.0,Add to cart
56000.0,"itel S18 6.6, 64GB ROM + 2GB RAM (UpTo 4GB), 5000mAh, 4G - Black",70000.0,Add to cart
65990.0,Blackview A70Pro Smartphone 32+4GB   Fingerprint Unlock Android 11,140642.0,Add to cart
61990.0,Blackview A55 Smartphone 16+3GB  6.528' Inch 4G LTE Android 11-Black,115752.0,Add to cart
92500.0,Infinix HOT 20i- (X665E)- 64/4GB- '6.6-13MP F1.8 Wide Aperture Triple Rear Camera 8MP AI Portrait Front Camera- 4G - Black,99000.0,Add to cart
15710.0,"Oraimo Riff Wireless Earbud Freepod2 ,Edition@promo Price",34000.0,Add to cart
265000.0,Samsung Galaxy Note 10+ Plus 12GB/256GB Black Octa-core/Exynos CPU,283000.0,Add to cart
37650.0,"itel A33 Plus 5.0,16GB/1GB, 3020mAh, 5+2MP, 3G - Blue+ Free Case",45000.0,Add to cart
195000.0,"Gionee M15, 6.67 (8GB RAM, 128GB ROM) Android 11 (48/5/2/2)MP + 16MP Selfie - 4G LTE - Dual - 5100mAh - Fingerprint - Blue",289999.0,Add to cart
62950.0,"Infinix Smart 6, 6.6 32gb/2gb RAM, 8MP + 8MP Camera, 5000mAh -Black",80000.0,Add to cart
61699.0,"Infinix SMART6,3G, 6.6,Android10,32GB ROM+2GB,8MP+8MP, 5000mAh,Black",72000.0,Add to cart
114000.0,"Samsung Galaxy Tab A7 Lite 8.0 32GB+3GB RAM, 5100mAh Battery - Grey",900000.0,Add to cart
112500.0,"XIAOMI Redmi 10C, 6.53-inch ,4GB RAM, 128GB ROM 13/2/2)MP + 5MP Selfie - 4G - Dual SIM - 5000mAh -Graphite Grey",115900.0,Add to cart
65990.0,Blackview A70Pro 32+4GB13MP+5MP 6.5‘’Fingerprint Unlock Android 11-Red,140642.0,Add to cart
125500.0,Nokia G20 - 6.5 HD+ 20.9  SCREEN-128GB ROM/4GB RAM-48MP/5MP/2MP/2MP+8MP CAMERA-5050MAH-FINGERPRINT- NIGHT - DARK  BLUE,127800.0,Add to cart
61799.0,"Infinix SMART6(X657),6.6HD,3G, 32GB ROM+2GB,RAM,8MP+8MP,5000mAh,Cyan",72000.0,Add to cart
126990.0,"Tecno Camon 19 (CI6) 6.8, 128GB ROM + 4GB RAM (Up To 7GB) - White",180000.0,Add to cart
95000.0,"Tecno POVA Neo (LE6) 6.8 HD+, 4RAM + 64GB ROM, 6000mAh Battery, 18W Charge, 13MP + 8MP Camera, Android-11, 4G LTE - Blue",100500.0,Add to cart
104000.0,"Tecno Spark 8P KG7H-6.52 HD+, 64 + 4GB RAM, 5000mAh, 16MP Dual Camera + 8MP Selfie, Android 11, 4G, Fingerprint - Cyan",122000.0,Add to cart
45500.0,"Tecno POP 5 Go (BD1) 5.71 Screen, 1GB RAM + 16GB ROM, 4000mAh,, 5MP +5MP Camera, Fingerprint &amp; Face ID - Aether Black",55000.0,Add to cart
30450.0,"itel A14 Plus, 4.0 Screen, 8GB /1GB RAM, 2500mAh Batt- Deep Blue",38000.0,Add to cart
54990.0,"Tecno POP 5 (BD2p) 6.1 HD+ Display, 2GB RAM + 32GB ROM, 5000mAh, Android 10, 5MP + 5MP Camera, Fingerprint &amp; Face ID - Blue",65000.0,Add to cart
52800.0,"Tecno POP 6 Go,6.0, 2GB RAM + 32GB ROM, 4000mAh, 5MP +5MP, Grey",68000.0,Add to cart
58800.0,"Tecno POP 6,6.1HD+2GBRam/32GB Rom,5000mAh,4G,5000mAh Sky Blue",65000.0,Add to cart
185000.0,"Samsung Galaxy A23 - 6.6 (4GB RAM, 128GB ROM) Android 12 (50/8/2/2)MP + 8MP Selfie - 4G - 5000mAh - Dual Sim - Black",192000.0,Add to cart
56990.0,"itel P37 6.5 HD+ Screen, 2GB RAM + 32GB ROM, 5000mAh Battery, Android 10, 8MP Dual Rear Camera, Fingerprint + Face ID - Blue",60000.0,Add to cart
54990.0,"Tecno POP 5 (BD2d) 6.1 HD+ Display, 2GB RAM + 32GB ROM, 5000mAh, Android 10, 5MP + 5MP Camera, Fingerprint &amp; Face ID - Green",65000.0,Add to cart
201000.0,Tecno Phantom X- 6.7FHD+ AMOLED- 8GB RAM/256GB ROM- Android 11 -50 + 13 + 8MP/ 48 + 8MP- 1080*2340 RESOLUTION- Iceland Blue,345000.0,Add to cart
81900.0,UMIDIGI Power 5S 4GB RAM 64GB ROM 6150mAh (16MP+8MP+5MP)+8MP Android 11 Face Unlock 6.53 Global Version Dual 4G-Sapphire Blue,109608.0,Add to cart
799000.0,Samsung Galaxy Tab S8 Plus 12.4 - 8GB RAM - 128GB - 5G - Graphite,850000.0,Add to cart
